Unnamed: 0,Enlatados HBE,Precio Enlatados HBE,Enlatados Soriana,Precio Enlatados Soriana,Enlatados Chedraui,Precio Enlatados Chedraui,Enlatados LaComer,Precio Enlatados LaComer
,Macarron Con Queso 206 Gr,11.9,Leche Evaporada Deslactosada Alpura 376 Gr,15.6,Chiles Rellenos Picadillo La Morena  380g,25.0,Chicharos Con Zanahorias,7.17
,Garbanzo En Lata 425 Gr,13.9,Leche Evaporada Carnation Deslactosada 360 Gr,19.6,Chiles Rellenos Queso La Morena  380g,19.0,Chicharos Con Zanahorias,11.5
,Chilorio De Pavo Pouch 215 Gr,51.9,Leche La Lechera 397 Gramo Lata,25.5,2 Pack Chipotle San Marcos,19.9,Ensalada Campesina,11.5
,Frijoles Negros Refritos 400 Gr,13.0,Media Crema Altea 250 Ml,11.2,Chiles Jalapeños La Costeña Picados 105g,7.95,Arroz Con Granos Ancestrales,230.0
,Garbanzo En Salmuera 440 Gr,18.0,Media Crema San Marcos Mbk 250Ml,12.6,Chiles El Mexicano Jalapeños Enteros 220g,8.0,Chicharos,8.5
,Frijoles Negros 560 Gr,13.6,Alimento Lacteo Svelty Total Move Bol360,56.5,Chiles Selecto Brand Jalapeños Enteros 340g,13.75,Mezcla Elote Con Pimiento,16.85
,Sopa Coditos 95 Gr,13.0,Leche Evaporada Carnation 360 Gr,16.2,Chiles Selecto Brand Jalapeños en Rajas 220g,10.2,Chicharos Con Zanahorias,14.5
,Atun En Aceite 140 Gr,18.9,Leche Condensada La Lechera 387 Gr,23.5,Jalapeños San Marcos Picados 380g,21.5,Corazones De Alcachofa,323.0
,El Dorado Atun Atun En Agua 285 Gr,24.0,Media Crema Alpura 200 Ml,10.0,Chiles Cary Nachos de Jalapeño en Escabeche 380g,17.35,Champiñones Rebanados,15.5
,Frijoles Molidos 430 Gr,12.9,Alimento Lácteo Svelty Total Move 1.6 Kg,34.0,Chiles Cary Nachos de Jalapeño en Escabeche 800g,26.3,Mole Especial Almendrado .5 Kg,74.0
,Sopa Estrellas 95 Gr,13.0,Media Crema Nestlé 225 Gr,15.2,Chiles Carey Jalapeños Enteros en Escabeche 780g,23.0,Champiñones Rebanados,31.2
